^ESCTFE524922	Fear of going insane
^ESCTFE524923	Fear of losing emotional control
^ESCTFE524924	Fear of becoming fat
^ESCTFE524925	Fear of obesity
^ESCTFE524929	Fear of appearing ridiculous
^ESCTFE524930	Fear of appearing foolish
^ESCTFE524931	Fear of saying the wrong thing
^ESCTFE524932	Fear of going out
^ESCTFE524933	Fear of empty streets
^ESCTFE524934	Fear of open spaces
^ESCTFE524935	Fear of crossing streets
^ESCTFE524937	Fear of activities in public
^ESCTFE524938	Fear of eating in public
^ESCTFE524939	Fear of public speaking
^ESCTFE524940	Fear of using public toilets
^ESCTFE524941	Fear of writing in public
^ESCTFE524942	Fear of social group activities
^ESCTFE524943	Fear of being in a small group
^ESCTFE524944	Fear of social gatherings
^ESCTFE524945	Fear of speaking on the phone
^ESCTFE524946	Fear of speaking to people in authority
^ESCTFE524947	Fear of being laughed at
^ESCTFE524948	Fear of being watched
^ESCTFE524952	Fear of natural phenomena
^ESCTFE524953	Fear of the dark
^ESCTFE524954	Fear of animals
^ESCTFE524955	Fear of feathers
^ESCTFE524956	Fear of enclosed spaces
^ESCTFE524957	Fear of tunnels
^ESCTFE524958	Fear of phone boxes
^ESCTFE524963	Fear of anaesthetic
^ESCTFE524964	Fear of anesthetic
^ESCTFE524965	Fear of general anaesthetic
^ESCTFE524967	Fear of general anesthetic
^ESCTFE524969	Fear of awareness under general anaesthetic
^ESCTFE524970	Fear of awareness under general anesthetic
^ESCTFE524971	Fear of not waking from general anaesthetic
^ESCTFE524972	Fear of not waking from general anesthetic
^ESCTFE524975	Fear of local anaesthetic
^ESCTFE524976	Fear of local anesthetic
^ESCTFE524977	Fear of problem after anaesthetic
^ESCTFE524978	Fear of problem after anesthetic
^ESCTFE524979	Fear of surgical masks
^ESCTFE524980	Fear of masks
^ESCTFE524981	Fear of hospitals
^ESCTFE524982	Fear of contracting disease
^ESCTFE524984	Fear of contracting venereal disease
^ESCTFE524985	Fear of contracting radiation sickness
^ESCTFE524986	Fear of the bogey man
^ESCTFE524987	Fear of ghosts
^ESCTFE558255	Fear of heights
^ESCTFE563241	Fear of needles
^ESCTFE563242	Fear of injections
^ESCTFE571626	Fear of birds
^ESCTFE646222	Fear of
^ESCTFE659252	Fear of transport
^ESCTFE659253	Fear of traveling
^ESCTFE659254	Fear of travelling
^ESCTGA284830	GAD - Generalized anxiety disorder
^ESCTGA284831	GAD - Generalised anxiety disorder
^ESCTGA524966	GA - Fear of general anesthetic
^ESCTGA524968	GA - Fear of general anaesthetic
^ESCTGE284829	Generalized anxiety disorder
^ESCTGR359266	Gross stress reaction
^ESCTHY272445	Hydrophobia
^ESCTHY278908	Hypochondriacal neurosis
^ESCTHY278909	Hypochondria
^ESCTIN525003	Inability to resist obsessional thoughts
^ESCTIR476629	Irritable heart syndrome
^ESCTIS338593	Isolated phobia
^ESCTJI316371	Jiryan
^ESCTKR476627	Krishaber's disease
^ESCTLE571764	Level of anxiety
^ESCTLY272446	Lyssa
^ESCTME371464	Mental disease
^ESCTNO385851	Nondelusional dysmorphophobia
^ESCTNO419607	Nonpsychotic mental disorder
^ESCTNO502403	Non-situational panic attack
^ESCTOB252037	Obsessive compulsive personality disorder
^ESCTOB269865	Obsessive compulsive behaviour
^ESCTOB269866	Obsessive compulsive behavior
^ESCTOB360094	Obsessional ruminations
^ESCTOB476488	Obsessive compulsive disorder
^ESCTOB476489	Obsessive compulsive neurosis
^ESCTOB524988	Obsessional thoughts of harm occurring to property
^ESCTOB524989	Obsessional thoughts of being robbed
^ESCTOB524990	Obsessional thoughts of fire
^ESCTOB524991	Obsessional thoughts of explosions
^ESCTOB524992	Obsessional thoughts of causing accidents
^ESCTOB524993	Obsessional thoughts of poisoning
^ESCTOB524994	Obsessional thoughts of giving others illness
^ESCTOB524995	Obsessional thoughts of contamination
^ESCTOB524996	Obsessional thoughts of disease
^ESCTOB524997	Obsessional thoughts of dirt
^ESCTOB524998	Obsessional thoughts of germs
^ESCTOB525000	Obsessional thoughts of incompletion
^ESCTOB525001	Obsessional thoughts of throwing things away
^ESCTOB552601	Obsessional thoughts of causing harm to others
^ESCTOB553191	Obsessional thoughts of causing harm to self
^ESCTOC476487	OCD - Obsessive-compulsive disorder
^ESCTON455097	On examination - anxious
^ESCTON455099	On examination - nervous
^ESCTON691039	On examination - panic attack
^ESCTOR277772	Organic anxiety disorder
^ESCTOV271298	Overanxious disorder of childhood
^ESCTOV571879	Over-anxious character
^ESCTPA479202	Parasitophobia
^ESCTPA588646	Parental anxiety
^ESCTPE562844	Performance anxiety
